date,HO1,HO2,HO3,HO4,HO5,HO6,HO7,HO8,HO9,HO10,HO11,HO12,HO13,HO14,HO15
2000-01-04,0.6711292211190584,0.560136106179773,0.47684812527062814,0.458347883748714,0.44294112400383323,0.42726466364329546,0.41346417503484273,0.3911454963044629,0.38023133584616886,0.3765397738185688,0.36608782950685803,0.3671830977367667,0.34713706645683423,0.3403881296489091,0.34780822565481717
2000-01-05,0.6589502753832005,0.5505211312445893,0.47096111137839813,0.45281099883829595,0.43853677200790964,0.4236842335010332,0.41034122412556845,0.3911454963044629,0.38023133584616886,0.3712702987530359,0.3613056577910586,0.3623907371961529,0.34285291354210534,0.3360554732837114,0.3432461742930045
2000-01-06,0.6562768482704512,0.5469474237465566,0.46514957202324797,0.44697072297388246,0.4319302440140242,0.41682174239503056,0.40329642788836845,0.3815853759338929,0.3709863919388289,0.3677573153760141,0.35790779894035896,0.35930092579496764,0.33989624462912343,0.33306533015843415,0.3400977163109084
2000-01-07,0.641127427964872,0.5351201536935429,0.4561681021107434,0.439841035554988,0.42669058388094266,0.41353968143129016,0.4008271178670818,0.37960506528570337,0.3709863919388289,0.36951380706452497,0.3602359614862087,0.35930092579496764,0.3409220277213824,0.33306533015843415,0.3400977163109084
2000-01-10,0.6408303805079,0.5366517426212714,0.46016825257597654,0.4461363978503948,0.4337527344950961,0.4212226877782279,0.4086708085229334,0.3869800152858574,0.3765333582832329,0.37354723242332794,0.3635079737128083,0.36522831909520054,0.34586992263698485,0.33941175638351245,0.3471014289649589
2000-01-11,0.6609305917630148,0.5540097504688596,0.47518768545487095,0.4600923817341882,0.4469657904828669,0.43308286262447165,0.41912906273073547,0.3964718490823519,0.38538209030882975,0.38193935937954687,0.3716250809672574,0.3730474336614652,0.3527487033733101,0.3463684158994636,0.35378387039634646
2000-01-12,0.6779613126294176,0.5686449335560418,0.486282442405612,0.4697250445235455,0.4554707460612021,0.44031831520362663,0.4254475913146159,0.40207134815654283,0.390796986025986,0.38727388969280235,0.3767847925553568,0.37790285157761344,0.35709319646993654,0.3504569789483121,0.35776763355736596
2000-01-13,0.6859815939676654,0.5717081114114987,0.48862215305508805,0.47169708572451635,0.45668573971525,0.44001994602510475,0.4244308165999685,0.40077390324910833,0.3895423150671327,0.38571256374745927,0.374960016505907,0.3754436139317721,0.35443822846644263,0.34777195246847126,0.3549404467979328
2000-01-14,0.7056857419468174,0.5808976449778689,0.4929996762057206,0.4776132093274288,0.467544745498303,0.4532973744693273,0.44280538822895416,0.41770897361983234,0.40558889627773,0.4011957127054447,0.3871042157315556,0.3819385236118145,0.35341244537418354,0.34520897264680506,0.35063541241425034
2000-01-18,0.7502166998658448,0.619215261470724,0.5250461738935005,0.504406757202553,0.486252973876859,0.4663687381707069,0.4477954318808333,0.42240087636266604,0.40979123440683485,0.40501181956930127,0.3871042157315556,0.3819385236118145,0.35341244537418354,0.34520897264680506,0.3680822943116268
2000-01-19,0.7648805856067983,0.6270320658043094,0.5300158116572161,0.5081833169195585,0.4895925167416897,0.4696184312093295,0.45090813856865675,0.42532759851600066,0.41261919510006123,0.4077978551222496,0.39605881058580406,0.3957426336673217,0.37215734901469627,0.3632262696713894,0.3692812594396777
2000-01-20,0.7910294727672399,0.6359147980015655,0.531593474439348,0.5070031420079942,0.48765092205283467,0.4669733322244041,0.4480125974637047,0.422264749750883,0.40933086871258867,0.4042343212754553,0.39195882289858036,0.3915796184240177,0.3681013081552134,0.3591195193620068,0.36495166314393834
2000-01-21,0.7813902751473124,0.6306739860051843,0.5206287181035312,0.5114091283445008,0.48151548283605267,0.45420128284004996,0.4517044123725185,0.43152135935212743,0.39591449705170045,0.39198872314738004,0.39195882289858036,0.3906829689869983,0.3681013081552134,0.3591195193620068,0.36495166314393834
2000-01-24,0.75965080817471,0.6180605062850807,0.5244151087806478,0.5029905473086759,0.48524334463865443,0.4657641441170096,0.4475782662979618,0.42253700297444907,0.40992276746233375,0.40514140261827564,0.3934726645061707,0.3906829689869983,0.3681013081552134,0.3591195193620068,0.36495166314393834
2000-01-25,0.7712383542497292,0.6223242177397637,0.5270182523711655,0.5051935404769291,0.487029611752401,0.46750235202138923,0.44924320243330934,0.4241024590099536,0.4114353976005712,0.4066316076814806,0.3949234293801113,0.3949100306186609,0.37134614084279965,0.3624049196095129,0.36874838604943283
2000-01-26,0.7665213000952966,0.6169057510994373,0.5210231337990642,0.4988205959544823,0.4799622070849686,0.46062509466058316,0.4426558464195434,0.41790869817382686,0.40545064357537103,0.4007355789531481,0.38918344661799825,0.3890818092780352,0.36566768363952373,0.3566554691763773,0.36268695123539774
2000-01-27,0.7507294231435006,0.6076677096142911,0.5151857815051761,0.4957521411844153,0.47770995724589677,0.45918918378305223,0.44164240703281016,0.41695581189134584,0.40452991218687867,0.40015245523276355,0.3889311396833999,0.38882562372460105,0.36541808112509405,0.35640274608041533,0.36242051454027535
2000-01-28,0.7516523250432808,0.6022492429739649,0.5087962472375419,0.49567346285697766,0.4737491040806325,0.45918918378305223,0.4415700185051864,0.41695581189134584,0.40452991218687867,0.40015245523276355,0.3889311396833999,0.38882562372460105,0.36541808112509405,0.35640274608041533,0.36242051454027535
2000-01-31,0.7623169692185197,0.6132638308985624,0.5197610035733586,0.5014956590873612,0.48415605161289554,0.4662175896572826,0.4487364827399427,0.42362601586871307,0.410975031906325,0.4065020246325062,0.3951126595810601,0.38882562372460105,0.36541808112509405,0.35640274608041533,0.36242051454027535
