date,NG1,NG2,NG3,NG4,NG5,NG6,NG7,NG8,NG9,NG10,NG11,NG12,NG13,NG14,NG15
2021-10-11,10.35243961882772,12.722450619679517,9.78931725103025,6.622992571546512,5.1337826996228255,4.6122615778568505,4.857548163601015,5.289569381362637,3.999162883955849,3.1339013730967795,3.1793215888295165,3.6456582492924134,3.4479239768241956,3.555860336926226,3.3995424205323173
2021-10-12,10.662334911439963,13.094736070382607,10.076158063817271,6.822008010319992,5.2734437763441875,4.704834917453062,4.947832435751715,5.38422194550009,4.069989947352398,3.189304702521242,3.2357737734999326,3.7089315420315363,3.5064947563455657,3.6139012641732213,3.4530596531863744
2021-10-13,10.826966785640217,13.302845949657627,10.238817793019667,6.935386502712157,5.377446705817543,4.802095514750349,5.057190849906083,5.502194706598946,4.159293635982828,3.258358127601007,3.306952615040892,3.788953647554545,3.58056956574024,3.687305966279716,3.5241497085029567
2021-10-14,11.305367643610365,13.7260027041835,10.205586235440682,6.6664141218243635,4.109601470332839,4.714209432855211,5.1589196072589845,5.620167467697802,4.210617594965836,3.280840638092094,3.369131832938742,3.9136392538345817,3.764033919241003,3.8102161651557065,3.488205298511426
2021-10-15,10.567604680144557,12.978662925452733,9.98723273578512,6.770502150038509,5.437570709940502,4.84373031721593,5.1018144062764765,5.551712582936231,4.194207691220206,3.283208604068403,3.331586049988614,3.819001868978417,3.611997846586389,3.7182851429366246,3.5583369093919317
2021-10-18,9.88071037593516,12.155559215043851,9.360917766428917,6.366844226103544,5.231732071078401,4.6781636871114936,4.930324846401637,5.371047602870042,4.056827141080018,3.175192411349236,3.2236179835537975,3.702391124887473,3.5083715599618084,3.6163456401415086,3.460356085819874
2021-10-19,10.095836614066675,12.426137506587102,9.57087562547446,6.487814266399511,5.246246334075087,4.6793722026597,4.931585799047776,5.371047602870042,4.056827141080018,3.1743863203587948,3.2236179835537975,3.701480103449262,3.5083715599618084,3.6130033613613404,3.45464053777817
2021-10-20,10.278882623704893,12.64669292070219,9.731012975593947,6.584590298636286,5.248885290983576,4.673329624918663,4.924020083170944,5.360180536399895,4.0496505451771725,3.1687436834257037,3.2171236637682448,3.692369889067157,3.500910467324838,3.604647664410921,3.448108482873366
2021-10-21,10.08828832500943,12.4170424379638,9.563758409913596,6.487814266399511,5.313539735241544,4.74463204226291,4.997155336646979,5.438966768308458,4.109113768372179,3.216303051861755,3.2642074822135028,3.743387089606945,3.5465060334396536,3.649768427943186,3.491383346617692
2021-10-22,10.305301635405256,12.653514222169667,9.738130191154811,6.604964200159817,5.29374755842788,4.718044700202343,4.968153425785792,5.406365568898019,4.0845082967052795,3.196150777100716,3.24391273288365,3.716967467898841,3.5166616628917744,3.620523488616718,3.4644386201353763
2021-10-25,11.428109632670614,13.981394241171838,10.74521619301734,7.2429219916153915,5.568199076910681,4.930743436686875,5.188820138860035,5.642724264623711,4.260847510318057,3.332380154485337,3.379481658407066,3.8654639623271527,3.648474299478241,3.7475300822630926,3.576300060380143
