date,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15
2000-01-04,95.81562823878097,41.90869678260987,22.34141598977597,16.81998966138004,13.364846806610188,11.499827996321613,10.68938716512332,10.2080206811734,9.741886825990184,9.556243903388594,9.424994177314556,9.41512652691113,9.254053006016978,9.267592120980106,9.395098740357419
2000-01-05,93.41554987976649,40.87953796467944,21.850701092362744,16.5830883985437,13.294474642643834,11.479135548285047,10.640330776114036,10.141301591753965,9.677218065646958,9.556243903388594,9.365225921555975,9.266270771544947,9.101361131417699,9.108371235627239,9.232039344149072
2000-01-06,92.92803396309168,40.8289235965845,21.795148462466905,16.4538695279057,13.100951191736359,11.28773040394681,10.493161609086178,10.022160360647833,9.561738136462626,9.376805524846393,9.245689410038816,9.233708575058595,9.068971945896639,9.075590465113414,9.19846829198853
2000-01-07,90.827965398954,40.08657953119206,21.526644084637024,16.33182948341425,13.059900762755985,11.272211067919384,10.488255970185248,10.031691659136323,9.580214925132118,9.409012413302685,9.28246987512102,9.280225998610526,9.129123290435748,9.145834973357326,9.279997990092705
2000-01-10,92.51552049513607,40.710823404362976,21.869218635661355,16.60462487698337,13.276881601652246,11.468789324266764,10.674670248420535,10.127004644021229,9.65412207981009,9.478027174280456,9.356030805285425,9.280225998610526,9.129123290435748,9.178615743871152,9.279997990092705
2000-01-11,96.6406551746922,42.36422609546433,22.628437910904466,17.114321533388825,13.652199809472805,11.779176044815255,10.95429166577346,10.465365740362644,9.982085078693592,9.790894090713016,9.645676967807775,9.62910667525002,9.457642172149352,9.454910809630539,9.572545730348857
2000-01-12,98.55321761703186,43.29215617720489,23.082117721720472,17.430189883837276,13.880909342363458,11.955061853126066,11.101460832801319,10.594038269957267,10.102184205045297,9.905918692342633,9.751420804919109,9.731445007064272,9.554809728712529,9.548570153955755,9.658871293047394
2000-01-13,100.09076781577551,43.832042770217576,23.332104556251743,17.516335797595943,14.015789323298968,12.027485421254049,11.194667971918962,10.665523008620946,10.16223376822115,9.984135421450771,9.733030572378008,9.25696728683456,9.554809728712529,9.553253121172014,9.658871293047394
2000-01-14,102.00333025811516,44.540643923546725,23.609867705730927,17.868098278777175,14.209312774206445,12.249929237647134,11.390893527956102,10.865680276879248,10.34700165491608,10.13136691153668,9.967506037277053,9.940773413047967,9.749144841838886,9.731205875389925,9.831522418444466
2000-01-18,107.31968029968215,46.84640958120508,24.107662840287745,18.68109961881935,14.789130418750526,12.650902217727323,11.706603715208109,11.206587233211666,10.649311612387917,10.409172741405296,10.212546555049688,10.165204200154887,9.953656338835646,9.923991781781766,10.009558948864088
2000-01-19,108.0917643306151,46.41184177432934,24.922434745426695,18.53400434623022,14.783106333040239,12.703834862989781,11.15629328415132,11.187173483132478,10.630504881063613,10.353008140282608,10.19386791480268,10.146327312132316,9.934884709719503,9.904998496075006,9.990113472518555
2000-01-20,107.97595172597516,46.89855771803017,25.056632470978993,18.68109961881935,14.867443532984234,12.73030118562101,11.781646046715855,11.211440670731465,10.654013295218995,10.413853124832189,10.22188587517319,10.174642644166171,9.967735060672755,9.904998496075006,9.990113472518555
2000-01-21,108.47780634608159,47.19406382670567,25.162073541055797,18.644325800672068,14.93973256150766,12.703834862989781,11.906716599228762,11.332776608726393,10.639908246725765,10.343647373428826,10.27325213585245,10.193519532188745,9.967735060672755,9.904998496075006,9.990113472518555
2000-01-24,107.43549290432209,46.77687873210496,25.008704711853174,18.644325800672068,14.849371275853377,12.725007921094765,11.781646046715855,11.211440670731465,10.654013295218995,10.41853350825908,10.231225195296691,10.184081088177457,9.977120875230828,9.957230031768594,10.053311270641542
2000-01-25,109.17268197392127,47.47218722310615,25.344199025733918,18.872323473185215,15.024069761451655,12.867926063303399,11.906716599228762,11.323069733686797,10.757450317502673,10.521501943650678,10.333957716655215,10.287903972301605,10.075671928090586,10.052196460302392,10.145677283282833
2000-01-26,107.5127013074154,46.70734788300484,24.922434745426695,18.644325800672068,14.879491704404805,12.75676750825224,11.776643224615338,11.323069733686797,10.729240220516216,10.460656959101097,10.30593975628471,10.075538982047672,10.075671928090586,10.052196460302392,10.145677283282833
2000-01-27,105.46667862544302,45.8034468447033,24.519841568769802,18.313361437346526,14.61443193315225,12.534450398149918,11.606547273197783,11.04642379505836,10.498857761793474,10.273441622025462,10.09580505350591,10.056662094025098,9.855105285975888,9.829025353247967,9.931777043481949
2000-01-28,105.08063660997654,45.786064132428265,24.58694043154595,18.22510427379305,14.656600533124246,12.545036927202409,11.65157267210243,11.06098410761775,10.50826112745563,10.36704929056328,10.133162333999918,10.061381316030742,9.925498895161429,9.829025353247967,9.931777043481949
2000-01-31,106.70201307493578,46.4466071988794,24.8936780899512,18.622261509783698,14.885515790115091,12.79382035993596,11.861691200324115,11.293949108568015,10.7527486346716,10.526182327077569,10.338627376716968,10.292623194307247,10.089750649927694,10.071189746009152,10.184568235973902
2000-02-01,108.94105676464137,47.385273661731006,25.392126784859734,18.98999969125652,15.168647818498501,13.026723999090771,12.0718097285458,11.483233171840105,10.922009216590347,10.68999574701875,10.492726158754753,10.438919076482177,10.221152053740706,10.194646103103086,10.301241094047112
2000-02-02,106.35457526101594,46.41184177432934,24.922434745426695,18.754647255113913,15.060214275713365,12.968498089302068,12.01677868544012,11.483233171840105,10.77625704882698,10.554264627638915,10.357306016963971,10.30206163831853,10.080364835369622,10.194646103103086,10.301241094047112
