date,RB1,RB2,RB3,RB4,RB5,RB6,RB7,RB8,RB9,RB10,RB11,RB12,RB13,RB14,RB15
2000-01-04,0.2978225197381106,0.19932625150629454,0.19307050546537344,0.18199948695679213,0.16258465758926854,0.14570317440875746,0.17185314174592067,0.17535856035376654,,,,,,,
2000-01-05,0.2938225676481972,0.19714384729272197,0.19144806424297534,0.18140640276863598,0.16223274274600175,0.1454873178540778,0.17185314174592067,0.1752196074533277,,,,,,,
2000-01-06,0.2951703775915376,0.19766762430397938,0.19171847111337503,0.1805038833518766,0.16105969326844569,0.14419217852599997,0.1698808409607724,0.17313531394674572,,,,,,,
2000-01-07,0.28738786211224976,0.19353560565961533,0.18847358866857883,0.17792525644684978,0.1593001190521116,0.14322082402994157,0.1690919206467131,0.1725795023449905,,,,,,,
2000-01-10,0.29112694776151654,0.19557251625894972,0.19058276225769635,0.1802718069304242,0.1617635229549793,0.1456600030978215,0.17232649393435628,0.1764146023971014,0.2093414862316531,0.2453063983115791,0.308475042444194,0.4840214927949978,,,
2000-01-11,0.2987790300204811,0.20049020042019988,0.19455774325257172,0.18385609832841143,0.16493075654438064,0.14850930961959277,0.1756662565972074,0.17966610026736934,0.21269898030646633,0.24890654282121263,0.31279306113323874,0.49040546931867285,,,
2000-01-12,0.3098658537479582,0.2074738939036321,0.20118271157736392,0.18952907751947043,0.16692494065622593,0.1491568792836317,0.1756662565972074,0.17966610026736934,0.21269898030646633,0.25205149664572,0.3167951272352802,0.49670653705632606,,,
2000-01-13,0.3098658537479582,0.20855054664899458,0.20131791501256377,0.18914228348371642,0.16849682695615104,0.15086214606560083,0.17813820691459323,0.1817226031938636,0.2149142341290235,0.2515549249892189,0.3161632220612737,0.495711631624065,,,
2000-01-14,0.3263873949889045,0.22566059568340352,0.20591483180935835,0.19159197904349187,0.16927103961133805,0.1508837317210688,0.1773755839443359,0.17827657126298133,0.21754484804331012,0.25697583223935666,0.32569445843587236,0.495711631624065,,,
2000-01-18,0.3332753474228262,0.22337354113066651,0.21369351244134507,0.20006240401758835,0.17685196331400535,0.15819135619880703,0.18681621340552232,0.18978507719160786,0.21754484804331012,0.25697583223935666,0.32569445843587236,0.495711631624065,,,
2000-01-19,0.3297362929694888,0.22168345128604608,0.2125919994906165,0.1992695543319176,0.17648956174983732,0.1587483680164085,0.18681621340552232,0.18978507719160786,0.21754484804331012,0.25697583223935666,0.32569445843587236,0.495711631624065,,,
2000-01-20,0.330987909788352,0.22221864640350922,0.212784764256994,0.19900527110336066,0.17636876122844797,0.15752294201768532,0.18586237424152624,0.18847016903554595,0.22222122881617926,0.2592417902612732,0.32595349528468864,0.495711631624065,,,
2000-01-21,0.3308152729857502,0.22083840636373586,0.21176586477757003,0.20164810338892988,0.17805996852789885,0.15752294201768532,0.19076783279922047,0.18847016903554595,0.22222122881617926,0.2592417902612732,0.32595349528468864,0.495711631624065,,,
2000-01-24,0.32498878089793853,0.21886663487834537,0.21066435182684146,0.19768385496057608,0.17516075601455447,0.15707733256360418,0.18599863697923996,0.18847016903554595,0.22222122881617926,0.2592417902612732,0.32188238106945405,0.495711631624065,,,
2000-01-25,0.33008156657469245,0.2225284962083563,0.21383120156018612,0.20032668724614527,0.17781836748512014,0.15897117274344905,0.18777005256951843,0.1902233799102952,0.2239876932741775,0.2609170199237047,0.32780400174615887,0.495711631624065,,,
2000-01-26,0.32572248730899633,0.22095107902004388,0.21253692384308007,0.1992695543319176,0.1769727638353947,0.15830275856232734,0.1870887388809498,0.1896389762853788,0.223457753936778,0.2602888088002929,0.3270109275483859,0.495711631624065,,,
2000-01-27,0.32201079605305705,0.2187539622220373,0.2105542005317686,0.19749885670058623,0.17535403684877746,0.15680996689115548,0.1852628181955858,0.18768122414190877,0.22109069156306038,0.25748279911572014,0.323468529465,0.495711631624065,,,
2000-01-28,0.32231291045761024,0.21881029855019135,0.21052666270800038,0.19741957173201916,0.17540235705733317,0.1569659302000839,0.1857261115038125,0.18847016903554595,0.22222122881617926,0.25882298284566535,0.3251604210869156,0.495711631624065,,,
2000-01-31,0.32675830812460727,0.22204963741904715,0.2137210502651133,0.20069668376612496,0.17851901050917837,0.15995151354242756,0.1857261115038125,0.18847016903554595,0.22222122881617926,0.25882298284566535,0.3325095753196118,0.495711631624065,,,
2000-02-01,0.3352175114520968,0.22669738449175333,0.21768649688773617,0.20407950909165354,0.18124910229257762,0.16235780459446578,0.19232122800915696,0.18847016903554595,0.22222122881617926,0.25882298284566535,0.3325095753196118,0.5266366088101792,,,
2000-02-02,0.33094475058770156,0.22481011749859386,0.21592407616657044,0.20259952301173476,0.18013773749579562,0.16144430521359943,0.19134013629761812,0.19448952637218506,0.229499062383132,0.26745041560718746,0.3360519734029977,0.5236518925133961,,,
2000-02-03,0.3390586803099874,0.22914801476645297,0.21942137978513368,0.20534806858872676,0.182287986776526,0.16320446255721996,0.19335682481578131,0.19665181978437585,0.23211342978096944,0.2705495904826858,0.33996447277867764,0.5297871426790058,,,
2000-02-04,0.34453989879259544,0.23230284914307775,0.22184470827673658,0.20735662112575934,0.1838825536588654,0.16445216902864715,0.1946104420027476,0.1979959481216836,0.2337385770823278,0.27247610459448196,0.3423965669851814,0.5336009468360065,,,
2000-02-07,0.33931763551389016,0.22999305968876316,0.21955906890397478,0.20542735355729383,0.18236046708935963,0.16304849924829154,0.19275726876984092,0.19600897579696777,0.23133618541945022,0.2696282141683485,0.33880129728861064,0.5279631493865272,,,
